App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Fednet,co.in.federalbank.fednet,Finance,3.7,3128,"1,000,000+",1000000,1155154,True,0,USD,3.0M,4.0 and up,Federal Bank,http://www.federalbank.co.in/,rejicv@federalbank.co.in,"Jun 28, 2017","Sep 01, 2020",Everyone,http://www.federalbank.co.in,False,False,False,2021-06-16 12:47:54
棒人間で卓球,co.jp.boningendetakkyu,Action,3.5,19,"1,000+",1000,4688,True,0,USD,8.5M,4.1 and up,ゲーム市場,,gameichiba@isamusakashita.sakura.ne.jp,"Mar 15, 2017","Feb 24, 2021",Everyone,http://isamusakashita.sakura.ne.jp/agreement.html,True,False,False,2021-06-16 12:47:54
HKTV外賣自取 商戶版,com.hktv.android.hktvtakeaway.merchant,Business,0.0,0,"1,000+",1000,1106,True,0,USD,4.3M,6.0 and up,Hong Kong Television Network Limited,http://www.hktv.com.hk/,app.cs@hktv.com.hk,"Oct 27, 2020","Mar 18, 2021",Everyone,https://www.hktvmall.com/hktv/zh/privacy-policy,False,False,False,2021-06-16 12:47:54
Next Floor DEMO,com.AlejGo.NextFloorDEMO,Action,5.0,39,100+,100,127,True,0,USD,42M,4.4 and up,AlejGoDevelop,https://m.facebook.com/Next-Floor-323352191732358,alfredmarindevelop1998@gmail.com,"Oct 2, 2018","Feb 01, 2020",Everyone 10+,https://m.facebook.com/Next-Floor-323352191732358,True,False,False,2021-06-16 12:47:54
EXPERT VET app,com.spei.expertvet,Education,0.0,0,100+,100,378,True,0,USD,27M,4.1 and up,SPEI Ingeniería,http://expertvet.co/,info@expertvet.co,"Apr 21, 2021","Jun 11, 2021",Everyone,,False,False,False,2021-06-16 12:47:54
ওজন কমাতে গ্রীন টি,com.boishakhiapps.GreenTeaOjonkomai,Books & Reference,0.0,0,100+,100,247,True,0,USD,2.1M,4.4 and up,BoishakhiApps,https://boishakhiapps.blogspot.com/,jusnamal@gmail.com,"Oct 3, 2017","Apr 21, 2020",Everyone,,True,False,False,2021-06-16 12:47:54
Rádio Portozero,com.uc.App151,Music & Audio,5.0,6,10+,10,33,True,0,USD,2.7M,4.1 and up,Matutos Soluções,https://sitegerenciavel.com.br,contato@sitegerenciavel.com.br,"Jan 9, 2020","Jan 10, 2020",Everyone,https://sitegerenciavel.com.br/politicas-apps.html,False,False,False,2021-06-16 12:47:54
Sergio Aguero Theme Keyboard,com.sergioaguero.sckeyboarddev,Personalization,4.6,35,"5,000+",5000,8568,True,0,USD,13M,4.1 and up,Koreancons,,akhdandevapp@gmail.com,"Oct 10, 2018","Jan 23, 2020",Everyone,https://docs.google.com/document/d/11Dbla6zVYJrCuo_gJ1SUHH_5wN7mlcq0RqR6yZxdFDM/edit?usp=sharing,True,False,False,2021-06-16 12:47:54
Veg Variety Rice,com.ayingudi.recipie1,Food & Drink,0.0,0,100+,100,214,True,0,USD,7.5M,6.0 and up,SASIKUMAR APPASAMY,,sasikumarster@gmail.com,"Oct 3, 2019","Jan 12, 2020",Everyone,,True,False,False,2021-06-16 12:47:54
OranG | Ульяновск,ru.FoodSoul.UlyanovskOranG,Food & Drink,4.8,103,"10,000+",10000,11241,True,0,USD,8.7M,5.0 and up,OranG Ulyanovsk,https://oran-g.ru,marketing@oran-g.ru,"Oct 4, 2018","Apr 22, 2021",Everyone,https://oran-g.ru/politika-konfidentsialnosti,False,False,False,2021-06-16 12:47:55
Trail & Track,com.bsj.cloud_international_gpstracker,Productivity,0.0,0,1+,1,1,True,0,USD,30M,5.0 and up,CT Frank Technology (M) Sdn Bhd,,jenq@google.com,"May 6, 2021","May 07, 2021",Everyone,http://www.wavpay.net/,False,False,False,2021-06-16 12:47:55
Table Tennis World Tour - The 3D Ping Pong Game,com.famobi.tabletennisworldtour,Sports,3.9,21136,"5,000,000+",5000000,5387420,True,0,USD,Varies with device,4.4 and up,Famobi,http://famobi.com,appstore@famobi.com,"Sep 6, 2017","Jul 25, 2018",Everyone,https://famobi.com/privacy-policy/,True,False,False,2021-06-16 12:47:55
Cannon Boom,com.falconmedia3014.BarrelJump,Casual,0.0,0,10+,10,30,True,0,USD,5.0M,4.0 and up,"Russell, Inc",,falconmedia3014@gmail.com,"Apr 14, 2020","Apr 15, 2020",Everyone,,True,False,False,2021-06-16 12:47:55
New Year Photo Live Wallpaper,com.appbasic.newyearphotolivewallpaper,Personalization,4.1,241,"10,000+",10000,41162,True,0,USD,4.6M,4.0.3 and up,App Basic,http://appbasic.com,support@appbasic.com,"Dec 29, 2014","Mar 26, 2019",Everyone,http://appbasic.com/privacy,True,False,False,2021-06-16 12:47:55
Kavi Escape Game 552 Glorious Girl Rescue Game,air.com.kavigames.KaviEscapeGame552GloriousGirlRescueGame,Puzzle,4.8,104,"1,000+",1000,4069,True,0,USD,14M,2.3 and up,Kavi Games,http://kavigames.com,kavigames2016@gmail.com,"Mar 25, 2019","Mar 26, 2019",Everyone,http://www.kavigames.com/page/Kavi%20Games%20Privacy%20Policy,True,False,False,2021-06-16 12:47:55
Smart VPN - Free VPN Proxy,com.code.smartvpn,Tools,4.3,150,"10,000+",10000,37929,True,0,USD,11M,4.1 and up,Android Code Play,https://dimming-writers.000webhostapp.com/app-ads.txt,rujenape@gmail.com,"Feb 7, 2019","May 16, 2021",Everyone,https://rulspolicy.blogspot.com/2019/02/smart-vpn-free-privacy-and-policy.html,True,True,False,2021-06-16 12:47:55
PMN Paulínia,com.theagoliddell.partidodepaulinia,News & Magazines,0.0,0,50+,50,59,True,0,USD,10M,5.0 and up,Theago Liddell,http://pmnpaulinia.com.br/,theagoliddell@gmail.com,"Jul 29, 2019","Sep 13, 2019",Everyone,http://theagoliddell.com/privacy_policy.html,False,False,False,2021-06-16 12:47:55
DIY Wristband Designs,com.rosemary.WristbandDesigns,Beauty,0.0,0,10+,10,20,True,0,USD,13M,4.1 and up,rosemary,,bymary492@gmail.com,"Sep 16, 2020","Sep 16, 2020",Everyone,http://rosemarymiss.blogspot.com.tr/2017/02/normal-0-21-false-false-false-tr-x-none.html,True,False,False,2021-06-16 12:47:55
TeamOn,com.newmediamarketingagency.teamon,Business,0.0,0,100+,100,154,True,0,USD,27M,4.1 and up,The New Media Group,http://teamon.ly,munkhbaatar.g@nmma.co,"Aug 17, 2017","Mar 21, 2020",Teen,http://thenewmediagroup.co/mobile-app-privacy-policy/,False,False,False,2021-06-16 12:47:55
PANIK,com.panikgame,Trivia,4.0,97,"10,000+",10000,12636,True,0,USD,31M,6.0 and up,SGAG,http://www.panikgame.com,hello@panikgame.com,"Apr 21, 2019","Sep 23, 2019",Everyone,https://www.panikgame.com/tnc,False,False,False,2021-06-16 12:47:55
