App Id,Category,Result,Error Message,Version Code
Com.sktelecom.minit,LIFESTYLE,False,Does not exist for the given sdk_version,
Uxpp.UC,COMMUNICATION,False,Download unavailable for the given sdk_version,
ace.jun.simplecontrol,TOOLS,False,Download unavailable for the given sdk_version,
acr.browser.raisebrowserfull,COMMUNICATION,True,,118
aegean.secretnotepad,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
ahzproapp.carreirabeauty.com.ahz_pro,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
air.air.make.city.idle.build.game,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
air.com.EXswap.Mindomo,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
air.com.FDGEntertainment.Lonewolf.gp,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
air.com.RustyLake.CubeEscapeParadox,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
air.com.begamer.adamandeve,GAME_ADVENTURE,False,'Item not found.',
air.com.ber.escapetheprison,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
air.com.fungamesmobile.escapeimpossiblerevenge,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
air.com.pixelfederation.diggy,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
air.com.tinychat.mobile,SOCIAL,False,Download unavailable for the given sdk_version,
air.com.wheelie,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
air.com.wheelie8,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
air.com.winkypinky.violetmyvirtualhome,LIFESTYLE,False,Download unavailable for the given sdk_version,
all.in.one.calculator,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
am.SD.Card.Repair,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
am.usb.audiovideo.player,LIBRARIES_AND_DEMO,False,Does not exist for the given sdk_version,
am.usb.camera.endoscope,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
am.usb.data.formatter,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
amplified.bible.free.OFFLINE,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
and.mms.ezhuthani,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
and.p2l,COMMUNICATION,False,Download unavailable for the given sdk_version,
ang.dating.daan.bible,LIBRARIES_AND_DEMO,False,Does not exist for the given sdk_version,
anime.wallpapers.besthd,PERSONALIZATION,False,Download unavailable for the given sdk_version,
anuj.wifidirect,LIBRARIES_AND_DEMO,False,Does not exist for the given sdk_version,
app.buzz.share,SOCIAL,False,Download unavailable for the given sdk_version,
app.buzz.share.lite,SOCIAL,False,Download unavailable for the given sdk_version,
app.cobo.launcher,PERSONALIZATION,False,Download unavailable for the given sdk_version,
app.com.asn.meuzapzap,SOCIAL,False,Download unavailable for the given sdk_version,
app.cybrook.trackview,TOOLS,False,Download unavailable for the given sdk_version,
app.diaryfree,LIFESTYLE,False,Download unavailable for the given sdk_version,
app.follow.unfollow,SOCIAL,False,Download unavailable for the given sdk_version,
app.locker.fingerprint.applock.lockapps,TOOLS,False,Download unavailable for the given sdk_version,
app.manoth.fahsai,LIFESTYLE,False,Download unavailable for the given sdk_version,
app.melon.icompass,TOOLS,False,Download unavailable for the given sdk_version,
app.name200.com,LIFESTYLE,False,Download unavailable for the given sdk_version,
app.qrcode,TOOLS,False,Download unavailable for the given sdk_version,
app.quantum.supdate,TOOLS,False,Download unavailable for the given sdk_version,
app.sarhne.com,SOCIAL,False,Download unavailable for the given sdk_version,
app.source.getcontact,COMMUNICATION,False,Does not exist for the given sdk_version,
app.story.craftystudio.shortstory,LIFESTYLE,False,Download unavailable for the given sdk_version,
app.trell,LIFESTYLE,False,Download unavailable for the given sdk_version,
app.zenly.locator,SOCIAL,False,Download unavailable for the given sdk_version,
appiz.textonvideo.animated.animatedtext,SOCIAL,False,Does not exist for the given sdk_version,
appsgamesinc.translatordictionary,COMMUNICATION,False,Download unavailable for the given sdk_version,
appymaker.argentfacile,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
ar.com.basejuegos.simplealarm,PRODUCTIVITY,False,Does not exist for the given sdk_version,
ar.com.personal,COMMUNICATION,False,Download unavailable for the given sdk_version,
ar.gob.argentinagobar,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
artline.com.galaxy,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
arvoredelivros.com.br.arvore,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
asuk.com.android.app,LIFESTYLE,False,Does not exist for the given sdk_version,
at.tomtasche.reader,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
au.com.phil.minedemo,GAME_ADVENTURE,False,'Item not found.',
avm.androiddukkan.ism,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
awesome.wallpapers.for.android,PERSONALIZATION,False,Download unavailable for the given sdk_version,
bage.image2pdf,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
bansi.livemobile.tracker,COMMUNICATION,False,Download unavailable for the given sdk_version,
battle.royale.wallpapers.hd,PERSONALIZATION,False,Download unavailable for the given sdk_version,
bazinga.historyclean,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
best.status.quotes.whatsapp,LIFESTYLE,True,,26
bestringtones2020.newringtones2021.popularringtones2022,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
